text,label
روٹ 14 ماہ میں سنچری بنانے میں ناکام رہنے کے بعد ٹاپ 10 سے باہر ہو گئے تھے لیکن گال میں فارم میں ان کی شاندار واپسی نے انہیں اسٹوکس کو پیچھے چھوڑتے ہوئے انگلینڈ کے سب سے زیادہ بلے باز بن گئے۔,1
کالعدم تنظیم تحریک طالبان پاکستان اندرونی اختلافات کی وجہ سے دھڑے بندی کا شکار ہو گئی تھی لیکن اب ایک مرتبہ پھر یہ تنظیم یکجا ہونے جا رہی ہے اور پیر کو باقاعدہ طور پر جماعت الاحرار اور حزب الاحرار نے تحریک میں ضم ہونے کا اعلان کر دیا ہے۔,1
نوئیڈا کا جیور بین الاقوامی ہوائی اڈہ مغربی اتر پردیش میں ترقی کے سیلاب کے دروازے کھول دے گا، یہ کیسے ہے,1
????? ??? ????????? ???????? ????? ?? ???? ????? ??? ????? ?????? ?? ???? ??? ??? ??,0
??? ??? ?? ?? ???????? ????? ????? ?? ????? ????? ?? ??? ???? ?? ?? ??? ?? ????? ???? ?? ????? ??? ??? ?? ??? ?? ?????? ???????? ??? ?????? ?? ???? ?? ???? ?? ?????? ??? ?? ?? ??? ?? ???????? ?????? ?? ????? ?? ????? ?? ???? ?????? ?? ??? ?? ?????? ??? ?????? ?? ??? ??? ???? ?? ???? ???? ?? ??? ???? ?? ????????? ?? ?? ???? ?? ?? ??? ??? ???? ???? ?? ????? ??? ???? ?? ???? ???? ???? ??,0
10 ???? ?????? ?????? ???? ?????? ?? ???? ???? ??? ??? ???? ??????? ?? ?? ??? ?? ?? ?? ??? 40 ??? ??,0
???? ??? ??? ?? ?? ????? ?????? ?? ??? ?? ??????? ?? ????? ?????,0
کئی ممالک میں کورونا وائرس کی ویکسین کا رول آؤٹ اس سال عالمی وبائی مرض سے ریوڑ کو استثنیٰ فراہم نہیں کرے گا، کئی ماہرین صحت نے پیر کے روز غریب ممالک کے لیے محدود رسائی، کمیونٹی کے اعتماد کے مسائل اور ممکنہ وائرس کی تبدیلی کا حوالہ دیتے ہوئے کہا۔,1
????? ??? ?????? ??? ?? ?? ???? ?? ???????? ????? ??? ???? ???????? ?? ???? ???? ???? ???,0
??????? ??? ??? ????? ????? ????? ?? ??? ???? ??? ?? ??? ???,0
"19 جنوری 1990 کو جموں و کشمیر کے تقریباً 62,000 کشمیری پنڈت خاندان بڑھتے ہوئے تشدد کی وجہ سے وادی کشمیر چھوڑنے پر مجبور ہوئے۔ کئی لوگ اپنی جانیں گنوا بیٹھے اور ہزاروں خاندانوں کو دوسری بھارتی ریاست میں پناہ گزینوں کی زندگی گزارنی پڑی۔",1
??????? ?? ???? ?????? ???? ?? ???? ?? ?? ??? ?? ??? ????????? ??????? ?? Oxford-AstraZeneca ?? COVID-19 ?????? ?? ??????? ?? ?????? ?? ?? ?? ??? ????? ??? ??? ?? ???? ?? ???? ?? ?????? ????? ?? ???? ?? ??? ???,0
?? ?? ??????? ?? ????? ?? ????? ????? ??? ??????? ??? ????? ??? ??? ?? ?? ??? ?? ????? ?? ??? ???? ?? ??????? ?? ?????? ??? ??? ???,0
???????? ??? ??? ???? ???? ???? ???? ??? ????? ??? ?? ?? ???? ???? ?????? ???? ?? ?? ??? ????? ?? ??????? ??? ????? ????? ?? ???? ????? ?? ? ??? ??? ?? ? ????? ??? ????????? ?? ??? ?????? ?? ???? ??? ??? ??? ?? ???? ?? ????? ????????? ?????????? ??? ????????? ????? ?? ??? ?????? ?? ?????? ???? ???? ? ???? ??? ??? ????? ??? ????? ??? ??????? ?? ???? ?????? ??? ???? ???? ??? ?? ????? ??? ????? ?? ??? ??????? ?? ???? ?????? ????,0
جموں و کشمیر کے ڈوڈہ ضلع میں تازہ برف باری ہوئی ہے۔ یہ خطہ برف کی سفید چادر کی موٹی تہہ میں ڈھکا ہوا دیکھا گیا۔ برفباری سے خطے میں درجہ حرارت میں کمی آئی اور معمولات زندگی بھی متاثر ہوئے۔,1
